new_session,object_instance_id,scene_id
S01,cup_lab_01,light_lab_table
S01,laptop_lenovo_01,light_lab_table
S01,mouse_lab_01,light_lab_table
S02,cup_wood_01,curved_wood_desk
S02,headphones_wood_01,curved_wood_desk
S02,keyboard_wood_01,curved_wood_desk
S02,laptop_lenovo_01,curved_wood_desk
S02,mouse_wood_01,curved_wood_desk
S03,headphones_lenovo_floor_01,floor_tile
S03,laptop_lenovo_01,floor_tile
S04,cup_simpsons_01,simpsons_desk
S04,headphones_simpsons_01,simpsons_desk
S04,keyboard_simpsons_01,simpsons_desk
S04,mouse_simpsons_01,simpsons_desk
S05,cup_doll_01,doll_desk
S05,laptop_doll_01,doll_desk
S05,mouse_doll_01,doll_desk
