canonical_stem,v1_canonical_stem,class_id,class_name,x_center,y_center,width,height
P03_S01_CUP_0001,self_cup_img_20260831_084514,3,cup,0.401563,0.374609,0.394792,0.499219
P03_S01_CUP_0002,self_cup_img_20260831_084516,3,cup,0.55,0.393359,0.414583,0.524219
P03_S01_CUP_0003,self_cup_img_20260831_084516_1,3,cup,0.542188,0.427344,0.415625,0.513281
P03_S01_CUP_0004,self_cup_img_20260831_084517,3,cup,0.60625,0.502246,0.395833,0.498633
P03_S01_KEY_0001,self_keyboard_img_20260831_084635,1,keyboard,0.573438,0.377995,0.851562,0.304427
P03_S01_KEY_0002,self_keyboard_img_20260831_084635_1,1,keyboard,0.5,0.32474,0.998437,0.285938
P03_S01_KEY_0003,self_keyboard_img_20260831_084636,1,keyboard,0.5,0.349479,1.0,0.282292
P03_S01_KEY_0004,self_keyboard_img_20260831_084636_1,1,keyboard,0.496875,0.386458,0.99375,0.2875
P03_S01_MIX_0001,self_laptop_plus_cup_img_20260831_084658,2,laptop,0.39375,0.494922,0.784375,0.983073
P03_S01_MIX_0002,self_laptop_plus_cup_img_20260831_084658_1,2,laptop,0.466406,0.479167,0.81875,0.952083
P03_S01_MIX_0003,self_laptop_plus_cup_img_20260831_084658_3,2,laptop,0.504297,0.498828,0.763281,0.977344
P03_S01_MIX_0004,self_laptop_plus_cup_img_20260831_084702_3,2,laptop,0.539062,0.510938,0.884375,0.953125
P03_S01_MOU_0001,self_mouse_img_20260831_084606,0,mouse,0.622917,0.351758,0.43125,0.187109
P03_S01_MOU_0002,self_mouse_img_20260831_084606_1,0,mouse,0.59375,0.362109,0.433333,0.196094
P03_S01_MOU_0003,self_mouse_img_20260831_084606_2,0,mouse,0.598958,0.380469,0.435417,0.210938
P03_S01_MOU_0004,self_mouse_img_20260831_084606_3,0,mouse,0.592708,0.39082,0.433333,0.214453
P05_S04_HDP_0041,p05_s04_p05_s04_hdp_0041,4,headphones,0.5235,0.466,0.499,0.57
P05_S04_HDP_0042,p05_s04_p05_s04_hdp_0042,4,headphones,0.7915,0.5405,0.417,0.811
P05_S04_HDP_0043,p05_s04_p05_s04_hdp_0043,4,headphones,0.442,0.517,0.678,0.744
P05_S04_HDP_0044,p05_s04_p05_s04_hdp_0044,4,headphones,0.5015,0.491,0.493,0.5
