canonical_stem,image,split,contributor,session,annotation_status,qa_status,negative,objects,sha256,mouse,keyboard,laptop,cup,headphones
P01_S01_CUP_0001,P01_S01_CUP_0001.jpg,train,P01,S01,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,0fcb0a85bfa8a9bd902c940af8a488c6d0d0d9dc9e09a7eb1b76f8862fd1d17e,0,0,0,1,0
P01_S01_CUP_0002,P01_S01_CUP_0002.jpg,train,P01,S01,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,1c8c13e720643efc8f0a0fe05e11ba50e5b227e6d2b46ce82fd0f1ddb02d8b38,0,0,0,1,0
P01_S01_CUP_0003,P01_S01_CUP_0003.jpg,train,P01,S01,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,e27c414314c0c235ba03c60fb2940de1e8edaee172c80328dac65e0f633c9bf9,0,0,0,1,0
P01_S01_CUP_0004,P01_S01_CUP_0004.jpg,train,P01,S01,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,c9895a7056f9315b50f83a310286412e5d8b1e21893a48688b68d916a17f3ed8,0,0,0,1,0
P01_S01_CUP_0019,P01_S01_CUP_0019.jpg,train,P01,S01,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,53f8eb97ebc04951f74fb5b8606c69bfd38a0bce97debda12706264fa7baa2d5,0,0,0,1,0
P01_S01_CUP_0020,P01_S01_CUP_0020.jpg,train,P01,S01,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,c138cb201a5cd92c9912f81f114380156276396de90010ff4d16223bba11943a,0,0,0,1,0
P01_S01_HDP_0012,P01_S01_HDP_0012.jpg,train,P01,S01,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,23ba7333f71a9a4bd63b70a9e2ceab8810ee998e546a2e03ca4aa3e2c31334a0,0,0,0,0,1
P01_S01_HDP_0014,P01_S01_HDP_0014.jpg,train,P01,S01,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,fead54b0d9d0005e3ebacadec76347d1ba7404ff6a9c368ea0a31d95758b0b93,0,0,0,0,1
P01_S01_HDP_0017,P01_S01_HDP_0017.jpg,train,P01,S01,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,cdf973d3b1e04da863c6a0e61560175fcc966ab7645d16cfde3ca0ce79d28d9a,0,0,0,0,1
P01_S01_HDP_0018,P01_S01_HDP_0018.jpg,train,P01,S01,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,205d90f533e89c864fa54bf813d8e35a5eafbdaf48063b39bd4bb8eaa690e056,0,0,0,0,1
P01_S01_HDP_0021,P01_S01_HDP_0021.jpg,train,P01,S01,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,1e749cfaefe15c5757868252d7273f7fa0ff00e68d9a178b19b373cca3d539f5,0,0,0,0,1
P01_S01_LAP_0005,P01_S01_LAP_0005.jpg,train,P01,S01,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,08e6e1676a88a446d4f886e5d3278680ab24c276e4dc3f3e4dc5c6ed0da3c6da,0,0,1,0,0
P01_S01_LAP_0006,P01_S01_LAP_0006.jpg,train,P01,S01,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,78706f40ec8b6af272a541e43eaef15ddc36d08a6140c856fe90cfd6fd5f0f9d,0,0,1,0,0
P01_S01_LAP_0007,P01_S01_LAP_0007.jpg,train,P01,S01,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,043034ed73d8e847c775b7e589519729ab8be02a2887d34fe8efb0102a16ecc6,0,0,1,0,0
P01_S01_MIX_0008,P01_S01_MIX_0008.jpg,train,P01,S01,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,2,d7a26b452a5c34499d65ba2ee4cd6a1177df7c2cbbfca8abef992061181207dd,0,0,1,1,0
P01_S01_MIX_0009,P01_S01_MIX_0009.jpg,train,P01,S01,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,2,9293db07e83c88b97ab8f5f9edf9e89e740c831cb934d2a7aa91dd2f762cb5a7,0,0,1,1,0
P01_S01_MIX_0010,P01_S01_MIX_0010.jpg,train,P01,S01,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,2,37d8bc3b5dcac6c2044c500274d276f236ac53bf41003869dc2d2f899aa1bcd8,1,0,0,1,0
P01_S01_MIX_0013,P01_S01_MIX_0013.jpg,train,P01,S01,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,2,6dfc496914f8876433c3f3878f7ffb45a6d280e5fda70061bc32ba6c27356276,1,0,0,1,0
P01_S01_MIX_0015,P01_S01_MIX_0015.jpg,train,P01,S01,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,2,ccd78ad8271f8e28e845fdf1ad6d40514bfb243095f5d3591d4244d137f7e5d4,1,0,0,0,1
P01_S01_MIX_0016,P01_S01_MIX_0016.jpg,train,P01,S01,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,2,08552c54a1a51c4deb6c9d8cf4544e17bab243aa34990cc092b3c4e2d92a596a,1,1,0,0,0
P01_S01_MOU_0011,P01_S01_MOU_0011.jpg,train,P01,S01,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,98ef49794bee70b999d325f815074fc24418f89597d93dcdf0732471f6380181,1,0,0,0,0
P01_S02_CUP_0001,P01_S02_CUP_0001.jpg,train,P01,S02,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,ace762fc8b7b7adb06815f227851538acab6e1905c3faf979d88fdab9d72ba71,0,0,0,1,0
P01_S02_CUP_0002,P01_S02_CUP_0002.jpg,train,P01,S02,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,ca84ae614f3c63980447e34564c979b040b53d7c53a810a3e0784592bb38d68b,0,0,0,1,0
P01_S02_CUP_0007,P01_S02_CUP_0007.jpg,train,P01,S02,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,b4e754a0172c599e30b01bc8cf4a041fb1f9f9eda27c5379721e6fdb8ac0e2d9,0,0,0,1,0
P01_S02_LAP_0003,P01_S02_LAP_0003.jpg,train,P01,S02,v1_reviewed_label_reused,v1_reviewed_label_reused_and_hash_matched,0,1,44152ceeb5b795ee2a9130f1004d64ecddc752d340e3d1be4baa4eb8e62f4dc4,0,0,1,0,0
