section,split,contributor,session,class,image_count,object_count,negative_count
overall,,,,,87,168,6
class,,,,mouse,41,42,
class,,,,keyboard,18,18,
class,,,,laptop,32,32,
class,,,,cup,42,45,
class,,,,headphones,31,31,
contributor,,P01,,,87,168,6
session,,P01,S01,,21,27,0
session,,P01,S02,,20,36,0
session,,P01,S03,,23,47,0
session,,P01,S04,,17,58,0
session,,P01,S05,,6,0,6
split,train,,,,47,63,6
split,val,,,,23,47,0
split,test,,,,17,58,0
split_class,train,,,mouse,,15,
split_class,train,,,keyboard,,3,
split_class,train,,,laptop,,14,
split_class,train,,,cup,,21,
split_class,train,,,headphones,,10,
split_class,val,,,mouse,,12,
split_class,val,,,keyboard,,7,
split_class,val,,,laptop,,6,
split_class,val,,,cup,,11,
split_class,val,,,headphones,,11,
split_class,test,,,mouse,,15,
split_class,test,,,keyboard,,8,
split_class,test,,,laptop,,12,
split_class,test,,,cup,,13,
split_class,test,,,headphones,,10,
