image,ground_truth,prediction,confidence,error_type,notes
P03_S01_CUP_0001.jpg,cup,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0002.jpg,cup,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0002.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0002.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0002.jpg,cup,laptop,0.3085877001285553,class_confusion,IoU=0.910
P03_S01_CUP_0003.jpg,cup,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0003.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0003.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0003.jpg,cup,laptop,0.5885030031204224,class_confusion,IoU=0.915
P03_S01_CUP_0004.jpg,cup,cup,0.37013179063796997,low_confidence_correct,IoU=0.970
P03_S01_CUP_0004.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0004.jpg,cup,laptop,0.5626181960105896,class_confusion,IoU=0.965
P03_S01_CUP_0005.jpg,cup,cup,0.4508650600910187,low_confidence_correct,IoU=0.922
P03_S01_CUP_0005.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0005.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0005.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0006.jpg,cup,cup,0.413186252117157,low_confidence_correct,IoU=0.928
P03_S01_CUP_0006.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0006.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0007.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0007.jpg,cup,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0007.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0008.jpg,cup,cup,0.4247898757457733,low_confidence_correct,IoU=0.927
P03_S01_CUP_0008.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0008.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0008.jpg,cup,laptop,0.28834497928619385,false_positive,IoU=0.321
P03_S01_CUP_0008.jpg,cup,cup,0.28095319867134094,false_positive,IoU=0.687
P03_S01_CUP_0009.jpg,cup,cup,0.37812983989715576,low_confidence_correct,IoU=0.908
P03_S01_CUP_0009.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0009.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0010.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0010.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0011.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0011.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0012.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0012.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0012.jpg,cup,mouse,0.35298267006874084,class_confusion,IoU=0.935
P03_S01_CUP_0013.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0013.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0013.jpg,keyboard,laptop,0.2771300971508026,class_confusion,IoU=0.534
P03_S01_CUP_0014.jpg,cup,cup,0.4713427722454071,low_confidence_correct,IoU=0.932
P03_S01_CUP_0014.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0014.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0014.jpg,cup,mouse,0.6148039698600769,class_confusion,IoU=0.964
P03_S01_CUP_0015.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0015.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0015.jpg,keyboard,laptop,0.4360525608062744,false_positive,IoU=0.238
P03_S01_CUP_0016.jpg,cup,cup,0.26947537064552307,low_confidence_correct,IoU=0.966
P03_S01_CUP_0016.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0016.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0016.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0016.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0016.jpg,keyboard,laptop,0.3571126461029053,false_positive,IoU=0.162
P03_S01_CUP_0017.jpg,cup,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0017.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0017.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0017.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0017.jpg,cup,laptop,0.6246156096458435,class_confusion,IoU=0.535
P03_S01_CUP_0018.jpg,cup,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0018.jpg,cup,laptop,0.43179991841316223,class_confusion,IoU=0.528
P03_S01_CUP_0018.jpg,cup,laptop,0.27027326822280884,false_positive,IoU=0.031
P03_S01_CUP_0019.jpg,cup,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0019.jpg,cup,laptop,0.7131226658821106,class_confusion,IoU=0.912
P03_S01_CUP_0019.jpg,cup,laptop,0.4932915270328522,false_positive,IoU=0.002
P03_S01_CUP_0019.jpg,cup,laptop,0.289505273103714,false_positive,IoU=0.118
P03_S01_CUP_0020.jpg,cup,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0020.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0020.jpg,cup,laptop,0.47212299704551697,false_positive,IoU=0.498
P03_S01_CUP_0021.jpg,cup,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0021.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0021.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0022.jpg,cup,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0022.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0022.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0022.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0023.jpg,cup,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0023.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0023.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0024.jpg,cup,cup,0.39428064227104187,low_confidence_correct,IoU=0.655
P03_S01_CUP_0024.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0024.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0025.jpg,cup,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0025.jpg,cup,laptop,0.41096264123916626,false_positive,IoU=0.000
P03_S01_KEY_0001.jpg,keyboard,laptop,0.49329036474227905,false_positive,IoU=0.000
P03_S01_KEY_0003.jpg,keyboard,laptop,0.26769670844078064,false_positive,IoU=0.000
P03_S01_KEY_0004.jpg,keyboard,laptop,0.4214150905609131,false_positive,IoU=0.000
P03_S01_KEY_0005.jpg,keyboard,laptop,0.2750544250011444,false_positive,IoU=0.000
P03_S01_MIX_0001.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0001.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0001.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0001.jpg,laptop,laptop,0.8010557889938354,false_positive,IoU=0.552
P03_S01_MIX_0001.jpg,laptop,laptop,0.5088425278663635,false_positive,IoU=0.369
P03_S01_MIX_0001.jpg,keyboard,laptop,0.2585199177265167,false_positive,IoU=0.167
P03_S01_MIX_0002.jpg,cup,cup,0.2956690192222595,low_confidence_correct,IoU=0.915
P03_S01_MIX_0002.jpg,keyboard,keyboard,0.4376274645328522,low_confidence_correct,IoU=0.566
P03_S01_MIX_0002.jpg,laptop,laptop,0.3937002718448639,false_positive,IoU=0.369
P03_S01_MIX_0002.jpg,keyboard,laptop,0.3208179473876953,false_positive,IoU=0.175
P03_S01_MIX_0003.jpg,keyboard,keyboard,0.2710334360599518,low_confidence_correct,IoU=0.575
P03_S01_MIX_0003.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0003.jpg,laptop,laptop,0.2776094973087311,false_positive,IoU=0.343
P03_S01_MIX_0004.jpg,cup,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0004.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0004.jpg,keyboard,keyboard,0.27723023295402527,false_positive,IoU=0.581
P03_S01_MIX_0005.jpg,cup,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0005.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0005.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0005.jpg,cup,laptop,0.7018675804138184,class_confusion,IoU=0.942
P03_S01_MIX_0006.jpg,cup,cup,0.39901411533355713,low_confidence_correct,IoU=0.931
P03_S01_MIX_0006.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0006.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0006.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0006.jpg,keyboard,laptop,0.4111628234386444,false_positive,IoU=0.258
P03_S01_MIX_0006.jpg,cup,laptop,0.370798796415329,class_confusion,IoU=0.928
P03_S01_MIX_0007.jpg,cup,cup,0.49309343099594116,low_confidence_correct,IoU=0.821
P03_S01_MIX_0007.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0007.jpg,mouse,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0007.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0007.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0007.jpg,keyboard,laptop,0.35298222303390503,false_positive,IoU=0.148
P03_S01_MIX_0007.jpg,keyboard,laptop,0.2867967486381531,false_positive,IoU=0.086
P03_S01_MIX_0008.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0008.jpg,mouse,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0008.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0008.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0008.jpg,keyboard,laptop,0.2666323482990265,false_positive,IoU=0.085
P03_S01_MIX_0009.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0009.jpg,mouse,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0009.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0009.jpg,cup,laptop,0.48378369212150574,false_positive,IoU=0.044
P03_S01_MIX_0009.jpg,keyboard,laptop,0.2846400737762451,false_positive,IoU=0.123
P03_S01_MIX_0010.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0010.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0010.jpg,mouse,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0010.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0010.jpg,keyboard,laptop,0.4564312696456909,false_positive,IoU=0.094
P03_S01_MIX_0010.jpg,keyboard,laptop,0.4157477915287018,false_positive,IoU=0.136
P03_S01_MIX_0010.jpg,keyboard,laptop,0.2579062283039093,false_positive,IoU=0.126
P03_S01_MIX_0011.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0011.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0011.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0011.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0011.jpg,mouse,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0011.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0011.jpg,keyboard,laptop,0.5551531314849854,false_positive,IoU=0.114
P03_S01_MIX_0012.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0012.jpg,cup,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0012.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0012.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0013.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0013.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0013.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0013.jpg,keyboard,laptop,0.48600322008132935,false_positive,IoU=0.086
P03_S01_MIX_0014.jpg,cup,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0014.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0014.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0014.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0014.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0014.jpg,mouse,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0014.jpg,mouse,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0014.jpg,cup,laptop,0.32192862033843994,false_positive,IoU=0.181
P03_S01_MIX_0015.jpg,cup,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0015.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0015.jpg,cup,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0015.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_MIX_0015.jpg,keyboard,,,false_negative,best same-class IoU=0.000
