image,ground_truth,prediction,confidence,error_type,notes
P03_S01_CUP_0001.jpg,cup,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0001.jpg,cup,cup,0.49189209938049316,false_positive,IoU=0.000
P03_S01_CUP_0001.jpg,cup,laptop,0.4886460304260254,false_positive,IoU=0.019
P03_S01_CUP_0001.jpg,cup,cup,0.2689976990222931,false_positive,IoU=0.000
P03_S01_CUP_0002.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0002.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0002.jpg,keyboard,cup,0.6316187381744385,false_positive,IoU=0.073
P03_S01_CUP_0003.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0003.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0003.jpg,keyboard,cup,0.5431811213493347,false_positive,IoU=0.067
P03_S01_CUP_0004.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0004.jpg,keyboard,laptop,0.33262112736701965,false_positive,IoU=0.001
P03_S01_CUP_0004.jpg,cup,laptop,0.29628050327301025,false_positive,IoU=0.261
P03_S01_CUP_0005.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0005.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0005.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0006.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0006.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0007.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0007.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0007.jpg,cup,cup,0.2913396656513214,false_positive,IoU=0.001
P03_S01_CUP_0008.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0008.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0009.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0009.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0010.jpg,keyboard,keyboard,0.3459526300430298,low_confidence_correct,IoU=0.831
P03_S01_CUP_0010.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0011.jpg,keyboard,keyboard,0.27416953444480896,low_confidence_correct,IoU=0.870
P03_S01_CUP_0011.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0012.jpg,keyboard,keyboard,0.3553496301174164,low_confidence_correct,IoU=0.827
P03_S01_CUP_0012.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0013.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0013.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0014.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0014.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0014.jpg,cup,cup,0.4242841303348541,false_positive,IoU=0.000
P03_S01_CUP_0015.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0015.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0015.jpg,cup,laptop,0.3745047152042389,false_positive,IoU=0.000
P03_S01_CUP_0015.jpg,cup,cup,0.36064276099205017,false_positive,IoU=0.000
P03_S01_CUP_0015.jpg,keyboard,laptop,0.2768692076206207,false_positive,IoU=0.180
P03_S01_CUP_0016.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0016.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0016.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0016.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0016.jpg,keyboard,laptop,0.5648602247238159,false_positive,IoU=0.121
P03_S01_CUP_0016.jpg,cup,cup,0.3967568576335907,false_positive,IoU=0.000
P03_S01_CUP_0016.jpg,keyboard,cup,0.38341403007507324,false_positive,IoU=0.028
P03_S01_CUP_0016.jpg,cup,laptop,0.28601789474487305,false_positive,IoU=0.000
P03_S01_CUP_0017.jpg,cup,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0017.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0017.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0017.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0017.jpg,keyboard,laptop,0.3972054421901703,false_positive,IoU=0.121
P03_S01_CUP_0018.jpg,cup,,,false_negative,best same-class IoU=0.008
P03_S01_CUP_0018.jpg,cup,cup,0.38891446590423584,false_positive,IoU=0.008
P03_S01_CUP_0018.jpg,cup,laptop,0.3471624255180359,false_positive,IoU=0.029
P03_S01_CUP_0019.jpg,cup,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0019.jpg,cup,laptop,0.3215644359588623,false_positive,IoU=0.029
P03_S01_CUP_0020.jpg,cup,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0020.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0020.jpg,cup,laptop,0.41292819380760193,false_positive,IoU=0.314
P03_S01_CUP_0021.jpg,cup,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0021.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0021.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0021.jpg,keyboard,laptop,0.3082601726055145,false_positive,IoU=0.131
P03_S01_CUP_0022.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0022.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0022.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0022.jpg,cup,mouse,0.26237940788269043,false_positive,IoU=0.000
P03_S01_CUP_0023.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0023.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0023.jpg,cup,laptop,0.4588480591773987,false_positive,IoU=0.238
P03_S01_CUP_0024.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0024.jpg,keyboard,,,false_negative,best same-class IoU=0.000
P03_S01_CUP_0024.jpg,cup,laptop,0.4066026508808136,false_positive,IoU=0.398
