split,class_id,class_name,precision,recall,AP50,AP50_95,instances
val,0,mouse,0.15794474562819538,0.14285714285714285,0.11762499696638758,0.07853113032398981,7
val,1,keyboard,0.9522831664690387,0.5555555555555556,0.7718571428571428,0.5498380952380952,9
val,2,laptop,0.6645442903503471,1.0,0.979,0.8289030303030301,12
val,3,cup,1.0,0.2802861143982186,0.4956418741542751,0.37517647858740333,28
val,4,headphones,0.10691348557433344,0.06666666666666667,0.06505484091906732,0.02499409903297694,15
test,0,mouse,0.9311629783927285,0.7864944521678636,0.8489843506237629,0.5850957411281973,86
test,1,keyboard,0.8945534949852628,0.20692410662999922,0.3108100222646353,0.16398546285785204,164
test,2,laptop,0.48754516106983764,0.9523809523809523,0.8752374302152838,0.46073661272391,42
test,3,cup,0.9681519880271319,0.7590361445783133,0.889438721489539,0.47328131598420164,83
test,4,headphones,0.9322751993443864,0.9210526315789473,0.918127272727273,0.41212882396816014,38
