split,class_id,class_name,precision,recall,AP50,AP50_95,instances
val,0,mouse,0.324966752775892,0.2857142857142857,0.16251169590643272,0.10949035087719297,7
val,1,keyboard,1.0,0.6003074948379713,0.9434920634920635,0.6106303797035544,9
val,2,laptop,0.9538564953208245,0.9166666666666666,0.9550000000000001,0.69002821432953,12
val,3,cup,0.7547328549197725,0.5,0.5350053270477366,0.3324193022747598,28
val,4,headphones,0.21309233624160157,0.2,0.11326073865917302,0.03691896544094172,15
test,0,mouse,0.9451754165497337,0.8018662482133734,0.8362328570585073,0.5561364910601684,86
test,1,keyboard,0.9045571403381266,0.20121951219512196,0.39378025678194073,0.20302969214798172,164
test,2,laptop,0.8104344061009175,0.8809523809523809,0.9126537569973752,0.5024342477328037,42
test,3,cup,0.8654366625123123,0.7749078035461846,0.8836355085205403,0.41865620036829576,83
test,4,headphones,0.8635118400986445,0.8947368421052632,0.9472246143055226,0.4211316776618679,38
