split,class_id,class_name,precision,recall,AP50,AP50_95,instances
val,0,mouse,1.0,0.8289827054160963,0.9450000000000001,0.8784666666666668,12
val,1,keyboard,0.9901398325585978,0.8571428571428571,0.9775,0.8417602339181286,7
val,2,laptop,0.8280397897958865,0.8333333333333334,0.915,0.7256039682539682,6
val,3,cup,0.925855116683346,1.0,0.995,0.9611000000000001,11
val,4,headphones,0.7271224425365367,0.9090909090909091,0.9462500000000001,0.8823333333333334,11
test,0,mouse,1.0,0.7226100050557948,0.8749579831932773,0.5345363615143027,15
test,1,keyboard,0.7811181376144998,0.8937895240815613,0.93975,0.6166692307692307,8
test,2,laptop,0.721962650542205,0.6666666666666666,0.6785664335664336,0.42358896658896655,12
test,3,cup,0.9645013601618235,0.9230769230769231,0.9299726775956284,0.7732974278473567,13
test,4,headphones,0.7050508442684793,0.7,0.702920792079208,0.6404287128712872,10
