image,split,ground_truth,prediction,confidence,error_type,notes
P01_S04_CUP_0001.jpg,val,cup,cup,0.443285,low_confidence_correct,IoU=0.697
P01_S04_CUP_0001.jpg,val,cup,laptop,0.819463,false_positive,IoU=0.071 with cup
P01_S04_CUP_0001.jpg,val,cup,keyboard,0.330067,false_positive,IoU=0.001 with cup
P01_S04_CUP_0002.jpg,val,cup,,,false_negative,best same-class IoU=0.000
P01_S04_CUP_0002.jpg,val,cup,mouse,0.833991,false_positive,IoU=0.078 with cup
P01_S04_CUP_0002.jpg,val,cup,keyboard,0.682313,false_positive,IoU=0.000 with cup
P01_S04_CUP_0003.jpg,val,cup,,,false_negative,best same-class IoU=0.000
P01_S04_CUP_0003.jpg,val,cup,mouse,0.335047,class_confusion,IoU=0.846 with cup
P01_S04_CUP_0003.jpg,val,cup,laptop,0.294580,false_positive,IoU=0.000 with cup
P01_S04_CUP_0004.jpg,val,cup,,,false_negative,best same-class IoU=0.000
P01_S04_CUP_0004.jpg,val,cup,,,false_negative,best same-class IoU=0.000
P01_S04_CUP_0004.jpg,val,cup,keyboard,0.786635,false_positive,IoU=0.000 with cup
P01_S04_CUP_0004.jpg,val,cup,mouse,0.739969,class_confusion,IoU=0.627 with cup
P01_S04_HDP_0001.jpg,val,headphones,headphones,0.288005,low_confidence_correct,IoU=0.521
P01_S04_HDP_0002.jpg,val,headphones,,,false_negative,best same-class IoU=0.000
P01_S04_HDP_0002.jpg,val,headphones,keyboard,0.864582,false_positive,IoU=0.101 with headphones
P01_S04_HDP_0002.jpg,val,headphones,keyboard,0.618528,false_positive,IoU=0.462 with headphones
P01_S04_HDP_0002.jpg,val,headphones,mouse,0.262720,false_positive,IoU=0.000 with headphones
P01_S04_HDP_0003.jpg,val,headphones,,,false_negative,best same-class IoU=0.000
P01_S04_HDP_0004.jpg,val,headphones,,,false_negative,best same-class IoU=0.000
P01_S04_HDP_0004.jpg,val,headphones,keyboard,0.899063,false_positive,IoU=0.005 with headphones
P01_S04_HDP_0004.jpg,val,headphones,mouse,0.890766,false_positive,IoU=0.000 with headphones
P01_S04_HDP_0004.jpg,val,headphones,keyboard,0.717706,false_positive,IoU=0.331 with headphones
P01_S04_HDP_0004.jpg,val,headphones,keyboard,0.399280,class_confusion,IoU=0.872 with headphones
P01_S04_HDP_0004.jpg,val,headphones,mouse,0.343244,false_positive,IoU=0.223 with headphones
P01_S04_HDP_0004.jpg,val,headphones,keyboard,0.313628,class_confusion,IoU=0.515 with headphones
P01_S04_KEY_0001.jpg,val,keyboard,keyboard,0.945863,false_positive,IoU=0.000 with keyboard
P01_S04_KEY_0001.jpg,val,keyboard,keyboard,0.661561,false_positive,IoU=0.001 with keyboard
P01_S04_KEY_0001.jpg,val,keyboard,keyboard,0.478847,false_positive,IoU=0.001 with keyboard
P01_S04_MIX_0001.jpg,val,keyboard,keyboard,0.354683,low_confidence_correct,IoU=0.582
P01_S04_MIX_0001.jpg,val,headphones,mouse,0.843117,false_positive,IoU=0.000 with headphones
P01_S04_MIX_0002.jpg,val,cup,,,false_negative,best same-class IoU=0.000
P01_S04_MIX_0002.jpg,val,headphones,keyboard,0.760138,false_positive,IoU=0.030 with headphones
P01_S04_MIX_0002.jpg,val,headphones,keyboard,0.620081,false_positive,IoU=0.016 with headphones
P01_S04_MIX_0002.jpg,val,headphones,keyboard,0.572372,false_positive,IoU=0.038 with headphones
P01_S04_MIX_0003.jpg,val,headphones,mouse,0.841530,false_positive,IoU=0.000 with headphones
P01_S04_MIX_0004.jpg,val,headphones,keyboard,0.972914,false_positive,IoU=0.002 with headphones
P01_S04_MIX_0005.jpg,val,headphones,,,false_negative,best same-class IoU=0.000
P01_S04_MIX_0005.jpg,val,cup,keyboard,0.722909,false_positive,IoU=0.150 with cup
P01_S04_MIX_0005.jpg,val,cup,keyboard,0.617304,false_positive,IoU=0.215 with cup
P01_S04_MIX_0005.jpg,val,cup,keyboard,0.338886,false_positive,IoU=0.041 with cup
P01_S04_MIX_0005.jpg,val,cup,keyboard,0.300469,false_positive,IoU=0.049 with cup
P01_S04_MIX_0006.jpg,val,headphones,headphones,0.370158,low_confidence_correct,IoU=0.671
P01_S04_MIX_0006.jpg,val,cup,,,false_negative,best same-class IoU=0.000
P01_S04_MIX_0006.jpg,val,headphones,keyboard,0.876262,false_positive,IoU=0.196 with headphones
P01_S04_MIX_0006.jpg,val,headphones,keyboard,0.799443,false_positive,IoU=0.069 with headphones
P01_S04_MIX_0006.jpg,val,cup,mouse,0.474583,class_confusion,IoU=0.897 with cup
P01_S04_MIX_0007.jpg,val,cup,cup,0.297327,low_confidence_correct,IoU=0.667
P01_S04_MIX_0007.jpg,val,cup,mouse,0.543472,false_positive,IoU=0.094 with cup
P01_S04_MIX_0007.jpg,val,headphones,mouse,0.441680,false_positive,IoU=0.000 with headphones
P01_S04_MOU_0001.jpg,val,mouse,,,false_negative,best same-class IoU=0.000
P01_S04_MOU_0001.jpg,val,mouse,keyboard,0.430238,false_positive,IoU=0.377 with mouse
P01_S04_MOU_0002.jpg,val,mouse,,,false_negative,best same-class IoU=0.000
P01_S04_MOU_0002.jpg,val,mouse,headphones,0.617621,false_positive,IoU=0.000 with mouse
P01_S04_MOU_0002.jpg,val,mouse,headphones,0.583438,false_positive,IoU=0.000 with mouse
P01_S03_HDP_0001.jpg,test,headphones,,,false_negative,best same-class IoU=0.000
P01_S03_LAP_0002.jpg,test,laptop,laptop,0.324729,low_confidence_correct,IoU=0.565
P01_S03_LAP_0002.jpg,test,laptop,laptop,0.618904,false_positive,IoU=0.535 with laptop
P01_S03_LAP_0002.jpg,test,laptop,laptop,0.609377,false_positive,IoU=0.381 with laptop
P01_S03_LAP_0004.jpg,test,laptop,,,localization_error,best same-class IoU=0.496
P01_S03_LAP_0004.jpg,test,laptop,laptop,0.895402,false_positive,IoU=0.496 with laptop
P01_S03_LAP_0004.jpg,test,laptop,keyboard,0.434563,false_positive,IoU=0.000 with laptop
P01_S03_LAP_0004.jpg,test,laptop,laptop,0.422447,false_positive,IoU=0.354 with laptop
P01_S03_LAP_0004.jpg,test,laptop,laptop,0.264639,false_positive,IoU=0.379 with laptop
P01_S03_MIX_0001.jpg,test,headphones,headphones,0.439216,low_confidence_correct,IoU=0.966
P01_S03_MIX_0001.jpg,test,laptop,,,false_negative,best same-class IoU=0.000
P01_S03_MIX_0001.jpg,test,headphones,cup,0.273376,false_positive,IoU=0.000 with headphones
P01_S03_MIX_0002.jpg,test,headphones,,,false_negative,best same-class IoU=0.000
P01_S05_LAP_0001.jpg,test,laptop,headphones,0.437514,false_positive,IoU=0.004 with laptop
P01_S05_MIX_0002.jpg,test,cup,,,false_negative,best same-class IoU=0.000
P01_S05_MIX_0002.jpg,test,cup,keyboard,0.872413,false_positive,IoU=0.000 with cup
P01_S05_MIX_0003.jpg,test,laptop,laptop,0.292947,low_confidence_correct,IoU=0.694
P01_S05_MIX_0003.jpg,test,cup,,,false_negative,best same-class IoU=0.000
P01_S05_MIX_0003.jpg,test,mouse,,,false_negative,best same-class IoU=0.000
P01_S05_MIX_0003.jpg,test,cup,cup,0.665242,false_positive,IoU=0.000 with cup
P01_S05_MIX_0003.jpg,test,cup,cup,0.655832,false_positive,IoU=0.000 with cup
P01_S05_MIX_0003.jpg,test,laptop,laptop,0.567710,false_positive,IoU=0.473 with laptop
P01_S05_MIX_0003.jpg,test,laptop,laptop,0.524530,false_positive,IoU=0.410 with laptop
P01_S05_MIX_0003.jpg,test,laptop,laptop,0.484567,false_positive,IoU=0.333 with laptop
P01_S05_MIX_0003.jpg,test,cup,keyboard,0.480675,false_positive,IoU=0.000 with cup
P01_S05_MIX_0003.jpg,test,mouse,keyboard,0.398073,false_positive,IoU=0.331 with mouse
P01_S05_MIX_0003.jpg,test,cup,cup,0.320971,false_positive,IoU=0.000 with cup
P01_S05_MIX_0004.jpg,test,cup,,,false_negative,best same-class IoU=0.000
P01_S05_MIX_0004.jpg,test,mouse,,,false_negative,best same-class IoU=0.000
P01_S05_MIX_0004.jpg,test,mouse,keyboard,0.276099,false_positive,IoU=0.184 with mouse
P01_S05_MIX_0005.jpg,test,cup,,,false_negative,best same-class IoU=0.000
P01_S05_MIX_0005.jpg,test,mouse,,,false_negative,best same-class IoU=0.000
P01_S05_MIX_0005.jpg,test,cup,headphones,0.286585,false_positive,IoU=0.000 with cup
